CD Rank,State,Colleges,Institution Type,Intake AY 2024-25,Intake AY 2025-26,Remarks
1,"Andaman &
Nicobar","Andaman & Nicobar Islands Institute of
Medical Sciences, Port Blair",Govt.,114,114,
2,Andhra Pradesh,ACSR Govt Medical COllege Nellore,Govt.,175,175,
3,Andhra Pradesh,"All India Institute of Medical Sciences,
Mangalagiri, Vijayawada",Govt.,125,125,
4,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical
Sciences, Eluru",Trust,250,250,
5,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt.,250,250,
6,Andhra Pradesh,"Apollo Institute of Medical Sciences and
Research, Chittoor",Society,150,150,
7,Andhra Pradesh,"Dr. P.S.I. Medical College , Chinoutpalli",Trust,150,150,
8,Andhra Pradesh,"Fathima Instt. of Medical Sciences,Kadapa",Trust,100,100,
9,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health
Care & Medical Technology, Visakhapa",Society,200,200,
10,Andhra Pradesh,"GITAM Institute of Medical Sciences and
Research, Visakhapatnam",Private,150,150,
11,Andhra Pradesh,"Goverment Medical College, Kadapa",Govt.,175,175,
12,Andhra Pradesh,"GOVERNMENT MEDICAL COLLEGE
MACHILIPATNAM",Govt.,150,150,
13,Andhra Pradesh,"GOVERNMENT MEDICAL COLLEGE
RAJAMAHENDRAVARAM ANDHRA
PRADESH",Govt.,150,150,
14,Andhra Pradesh,Government Medical College Srikakulam,Govt.,200,200,
15,Andhra Pradesh,"Government Medical College,
Anantapuramu",Govt.,200,200,
16,Andhra Pradesh,"GOVERNMENT MEDICAL COLLEGE, ELURU,
AP",Govt.,150,150,
17,Andhra Pradesh,"Government medical college, Nandyal,
Andhra Pradesh",Govt.,150,150,
18,Andhra Pradesh,"Government Medical College, Paderu,
Visakhapatnam, AP",Govt.,50,50,
19,Andhra Pradesh,GOVERNMENT MEDICAL COLLEGE-VIZIANAGARAM,Govt.,150,150,
20,Andhra Pradesh,"Government Siddhartha Medical College,
Vijayawada",Govt.,175,175,
21,Andhra Pradesh,"Great Eastern Medical School and
Hospital,Srikakulam",Trust,150,150,
22,Andhra Pradesh,"GSL Medical College, Rajahmundry",Trust,250,250,
23,Andhra Pradesh,"Guntur Medical College, Guntur",Govt.,250,250,
24,Andhra Pradesh,"Katuri Medical College, Guntur",Trust,150,150,
25,Andhra Pradesh,"Konaseema Institute of Medical Sciences
& Research Foundation, Amalapuram",Trust,200,200,
26,Andhra Pradesh,"Kurnool Medical College, Kurnool",Govt.,250,250,
27,Andhra Pradesh,"Maharajah Institute of Medical Sciences,
Vizianagaram",Trust,200,200,
28,Andhra Pradesh,"Narayana Medical College, Nellore",Trust,250,250,
